No.,Name,Category,Years in Prod.,Colors
5267,Morgan Briefcase,Briefcase,"1991, 1992, 1993, 1994","Black, British Tan, Burgundy, Mahogany, Bordeaux"
5268,Sumter Briefcase,Briefcase,"1992, 1993","Black, Navy, Tan"
5270,Letter Brief,Briefcase,"1987, 1990, 1991","Black, British Tan, Burgundy, Mocha, Navy, Red, Tabac, Mahogany"
5272,Stanton Briefcase,Briefcase,1992,"Black, British Tan, Burgundy, Mahogany"
5273,Bedford Briefcase,Briefcase,"1992, 1993","Black, British Tan, Burgundy, Mahogany, Bordeaux"
5274,Essex Briefcase,Briefcase,"1992, 1993, 1994, 1995, 1996, 1997, 1998","Black, British Tan, Mahogany, Mocha"
5275,Prescott Brief,Briefcase,"1992, 1993, 1994, 1996, 1997, 1998","Black, British Tan, Mahogany"
5276,Monroe Brief,Briefcase,"1992, 1993","Black, British Tan, Mahogany"
5278,Spencer Brief,Briefcase,1995,"Black, British Tan"
5279,Kensington Brief,Briefcase,"1994, 1995, 1996, 1997","Black, British Tan, Mahogany"
5280,Emmerson Case,Crossbody,1995,"Black, British Tan, Mahogany"
5281,Field Bag,Messenger,1995,"Black, British Tan, Mahogany"
5282,Embassy Brief,Briefcase,"1995, 1996, 1997","Black, British Tan, Mahogany"
5283,Harrison Brief,Briefcase,"1995, 1996, 1997, 1998","Black, British Tan, Mahogany"
5284,Berkeley Field Bag,Messenger,1996,"Black, Mahogany, Russet"
5286,Handle Portfolio,Briefcase,"1996, 1997","Black, British Tan, Mahogany"
5290,Bancroft Brief,Briefcase,1997,"Black, British Tan, Mahogany, Red"
5291,Phelps Brief,Briefcase,1997,"Black, British Tan, Mahogany"
5294,Reed Brief,Briefcase,1998,"Black, British Tan"
5320,Full Flap Brief,Briefcase,"1996, 1997","Black, British Tan, Mahogany"
5321,Flap Brief,Briefcase,"1996, 1997","Black, British Tan, Mahogany"
5322,Satchel,Briefcase,"1996, 1997","Black, British Tan, Mahogany"
5350,Delegate Brief,Briefcase,"1993, 1994","Black, British Tan"
5351,Senator Brief,Briefcase,"1993, 1994, 1995","Black, British Tan"
5352,Courier Brief,Briefcase,"1993, 1994","Black, British Tan, Mahogany"
5353,Diplomat,Briefcase,"1993, 1994, 1996, 1997, 1998, 1999","Black, British Tan, Mahogany"
5356,Candidate,Briefcase,"1993, 1994","Black, British Tan"
5357,Ambassador Brief,Briefcase,1994,"Black, Bottle Green, British Tan, Mahogany, Red"
5358,Hamilton Portfolio,Briefcase,"1994, 1995","Black, Bottle Green, British Tan, Mahogany, Red"
5396,Embassy Brief,Briefcase,1998,"Black, Mahogany"
5420,Briefbag,Briefcase,"1991, 1992, 1993, 1994, 1995, 1996, 1997","Black, British Tan, Mahogany"
6000,Chelsea Zip,Crossbody,1998,"Dark Grey, Black, Mahogany, Grey"
6003,Chelsea Hobo,Shoulder Bag,1998,"Dark Grey, Black, Mahogany, Grey"
6006,Chelsea Tote,Tote,1998,"Black, Mahogany"
6007,Chelsea Satchel,Tote,1998,"Dark Grey, Black, Mahogany"
6018,Slim Zip Spectator,Crossbody,1990,"Black, Blue, Bone, Red"
6022,Duffle Drawstring Spectator,Bucket,1990,"Black, Blue, Bone"
6106,Pearlized Party Bag,Clutch/Pouch,1998,"Ivory, Lavender, Pistachio"
6107,Pearlized Satchel,Satchel,1998,"Ivory, Lavender, Pistachio"
6112,Bleecker Tweed Demi Zip,Shoulder Bag,1999,"Black, Mahogany"
6120,Canvas Bleecker Demi Satchel,Satchel,1999,Mahogany
6121,Canvas Bleecker Satchel,Satchel,1999,Mahogany
6122,Canvas Bleecker Bucket,Bucket,1999,Mahogany
6124,Canvas Bleecker Zip,Satchel,1999,Mahogany
6126,Bleecker Tweed Satchel,Satchel,1999,"Black, Mahogany"
6127,Bleecker Tweed Bucket,Bucket,1999,"Black, Mahogany"
6128,Bleecker Tweed Zip,Shoulder Bag,1999,"Black, Mahogany"
6130,Station Bag Spectator,Crossbody,1990,"Black, Forest Green, Navy, Red"
6193,Pearlized Clutch,Clutch/Pouch,1998,"Ivory, Lavender, Pistachio"
6201,Neo Lunch Tote,Tote,"1998, 1999","Black, Mahogany, Red, Ink, Dark Grey, Grey, Camel, Navy"
6202,Neo Mini Satchel,Shoulder Bag,1998,"Black, Mahogany, Red"
6203,Neo Pocket Zip,Shoulder Bag,"1998, 1999","Black, Mahogany, Red, Ink, Dark Grey, Camel, Navy"
6204,Neo Duffle Sac,Bucket,1998,"Black, Mahogany, Red"
6205,Neo Backpack,Backpack,1998,"Black, Mahogany, Red, Ink, Dark Grey"
6206,Neo Compartment Tote,Tote,"1998, 1999","Black, Mahogany, Red, Ink, Dark Grey, Grey, Camel, Navy"
6207,Neo Large Tote,Tote,1998,"Black, Mahogany, Red"
6208,Neo Mailbag,Crossbody,1998,"Black, Mahogany, Red"
6209,Neo Slim Tote,Tote,1998,"Black, Mahogany, Red"
6210,Neo Zip Hobo,Shoulder Bag,1998,"Black, Mahogany, Red"
6211,Neo Flap,Crossbody,1998,"Black, Ink, Mahogany"
6213,Neo Mini Flap,Crossbody,1998,"Black, Ink, Mahogany"
